"accessionyear","technique","objectnumber","lastupdate","dated","copyright","period","url","provenance","objectid","culture","standardreferencenumber","worktypes","department","state","style","datebegin","dimensions","dateend","century","medium","people","primaryimageurl","images","reversedescription","metal","reverseInscription","obverseInscription","dieAxis","denomination","dateObject"
"1934","Struck","1934.68","2016-04-12T04:37:45-0400","172-151 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/186524",NA,"186524","Roman Republican",NA,"list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-172",NA,"-151","2nd century BCE","Silver","NA",NA,"NA","","AR",NA,NA,NA,NA,NA
"1934","Struck","1934.72","2016-04-12T04:37:45-0400","c. 32-31 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/186208",NA,"186208","Roman Republican","RRC 544/20","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-37","3.46 g","-27","1st century BCE","silver","list(birthplace = NA, name = ""Marc Antony"", prefix = ""Issued by"", personid = 20470, role = ""Coin Constituent"", displayorder = 1, culture = ""Roman"", displaydate = ""83-30 BCE"", deathplace = NA, displayname = ""Issued by Marc Antony"")","http://nrs.harvard.edu/urn-3:HUAM:COIN03565_dynmc","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/18736008"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN03565_dynmc"", publiccaption = NA, idsid = ""18736008"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN03565"")","Obv.: Galley r.; above, ANT[.AVG]; below, IIIVIR.R.P.C. Border of dots.","AR","Below, LEG - VII","Above, ANT.AVG; below, IIIVIR.R.P.C","12","denarius",NA
"1934","Struck","1934.68","2016-04-12T04:37:45-0400","172-151 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/186524",NA,"186524","Roman Republican",NA,"list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-172",NA,"-151","2nd century BCE","Silver","NA",NA,"NA","","AR",NA,NA,NA,NA,NA
"1934","Struck","1934.72","2016-04-12T04:37:45-0400","c. 32-31 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/186208",NA,"186208","Roman Republican","RRC 544/20","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-37","3.46 g","-27","1st century BCE","silver","list(birthplace = NA, name = ""Marc Antony"", prefix = ""Issued by"", personid = 20470, role = ""Coin Constituent"", displayorder = 1, culture = ""Roman"", displaydate = ""83-30 BCE"", deathplace = NA, displayname = ""Issued by Marc Antony"")","http://nrs.harvard.edu/urn-3:HUAM:COIN03565_dynmc","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/18736008"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN03565_dynmc"", publiccaption = NA, idsid = ""18736008"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN03565"")","Rev.: Aquila r. between two standards; between standards, LEG - VII. Border of dots.","AR","Below, LEG - VII","Above, ANT.AVG; below, IIIVIR.R.P.C","12","denarius",NA
"1942","Struck","1942.176.34","2016-04-12T04:37:32-0400","c. 67 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/180072",NA,"180072","Roman Republican","RRC 409/1","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-72","3.97 g","-62","1st century BCE","silver","list(birthplace = NA, name = ""M. Plaetorius M.f. Cestianus"", prefix = ""Issued by"", personid = 25803, role = ""Coin Constituent"", displayorder = 1, culture = ""Roman"", displaydate = NA, deathplace = NA, displayname = ""Issued by M. Plaetorius M.f. Cestianus"")","http://nrs.harvard.edu/urn-3:HUAM:COIN10798_dlvr","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/43343705"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN10798_dlvr"", publiccaption = NA, idsid = ""43343705"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN10798"")","Obv.: Female bust r., draped, with attributes of Isis, Minerva, Apollo, Diana and Victory; before, cornucopiae; behind, CESTIANVS; before, S.C. Bead and reel border.","AR","Around, counter-clockwise, M.PLAETORIVS.M.F.AED.CVR","Behind, CESTIANVS downwards. Before, S.C downwards","3","denarius",NA
"1942","Struck","1942.176.43","2016-04-12T04:37:35-0400","c. 55 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/181145",NA,"181145","Roman Republican","RRC 430/1","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-60","3.72 g","-50","1st century BCE","silver","list(birthplace = NA, name = ""P. Licinius M.f. P.n. Crassus"", prefix = ""Moneyer:"", personid = 53972, role = ""Coin Constituent"", displayorder = 1, culture = ""Roman"", displaydate = NA, deathplace = NA, displayname = ""Moneyer: P. Licinius M.f. P.n. Crassus"")","http://nrs.harvard.edu/urn-3:HUAM:COIN03541_dynmc","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/18735984"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN03541_dynmc"", publiccaption = NA, idsid = ""18735984"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN03541"")","Obv.: Bust of Venus r., draped, laureate and diademed; behind, S.C downwards. Border of dots.","AR","Around, clockwise, P.CRASSVS.M.F","Behind, S.C downwards","8","denarius",NA
"1942","Struck","1942.229","2016-04-12T04:37:45-0400","c. 141 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/186323",NA,"186323","Roman Republican","RRC 224/1","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-146","3.41 g","-136","2nd century BCE","silver","list(birthplace = NA, name = ""L. Julius"", prefix = ""Moneyer:"", personid = 55631, role = ""Coin Constituent"", displayorder = 1, culture = ""Roman"", displaydate = NA, deathplace = NA, displayname = ""Moneyer: L. Julius"")","http://nrs.harvard.edu/urn-3:HUAM:COIN09414_dlvr","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/43338038"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN09414_dlvr"", publiccaption = NA, idsid = ""43338038"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN09414"")","Obv.: Helmeted head of Roma r.; behind, mark of value (XVI). Border of dots.","AR","Below, L.IVLI (VL in ligature); in exergue, ROMA","Behind, mark of value (XVI)","12","denarius",NA
"1942","Struck","1942.176.29","2016-04-12T04:37:32-0400","c. 78 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/179832",NA,"179832","Roman Republican","RRC 385/1","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-83","3.93 g","-73","1st century BCE","silver","list(birthplace = NA, name = ""M. Volteius M.f."", prefix = ""Moneyer:"", personid = 25001, role = ""Coin Constituent"", displayorder = 1, culture = ""Roman"", displaydate = NA, deathplace = NA, displayname = ""Moneyer: M. Volteius M.f."")","http://nrs.harvard.edu/urn-3:HUAM:COIN10800_dlvr","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/43343707"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN10800_dlvr"", publiccaption = NA, idsid = ""43343707"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN10800"")","Obv.: Laureate head of Jupiter r. Border of dots. Crescent countermark on neck.","AR","Below, M.VOLTEI.M.F",NA,"10","denarius",NA
"1942","Struck","1942.176.16","2016-04-12T04:37:32-0400","after 211 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/180079",NA,"180079","Roman Republican","RRC 56/2","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-211","27.79 g","-180","3rd-2nd century BCE","bronze","list(birthplace = NA, name = ""Anonymous"", prefix = NA, personid = 53049, role = ""Coin Constituent"", displayorder = 1, culture = NA, displaydate = NA, deathplace = NA, displayname = ""Anonymous"")","http://nrs.harvard.edu/urn-3:HUAM:COIN10819_dlvr","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/43343726"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN10819_dlvr"", publiccaption = NA, idsid = ""43343726"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN10819"")","Obv.: Head of Janus, laureate; above, mark of value (I).","AE","Mark of value (I) above; ROMA below","Mark of value (I) above","9","as",NA
"1942","Struck","1942.176.27","2016-04-12T04:37:34-0400","c. 63 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/180687",NA,"180687","Roman Republican","RRC 414/1","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-68","3.82 g","-58","1st century BCE","silver","list(birthplace = NA, name = ""L. Furius Cn.f. Brocchus"", prefix = ""Moneyer:"", personid = 26022, role = ""Coin Constituent"", displayorder = 1, culture = ""Roman"", displaydate = NA, deathplace = NA, displayname = ""Moneyer: L. Furius Cn.f. Brocchus"")","http://nrs.harvard.edu/urn-3:HUAM:COIN09415_dlvr","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/43338039"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN09415_dlvr"", publiccaption = NA, idsid = ""43338039"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN09415"")","Obv.: Head of Ceres r.; to l., ear of corn; to r., barley grain; above, III-VIR; below, BROCCHI. Border of dots.","AR","Above, L.FVRI/CN.F","Above, III - VIR; below, BROCCHI","6","denarius",NA
